OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
27,27,76619.000000000000000,3,782,C,11570_1_2,North Pacific Swamp Systems,Riparian,NA
28,28,13408.000000000000000,120,783,Developed,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
29,29,110.000000000000000,132,783,Barren or Sparse,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
30,30,325148.000000000000000,5,770,E,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
31,31,12574.000000000000000,1,779,A,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
32,32,575178.000000000000000,120,770,Developed,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
33,33,23912.000000000000000,7,781,UE,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
34,34,91366.000000000000000,3,770,C,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
35,35,3167.000000000000000,132,408,Barren or Sparse,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,NA
36,36,723429.000000000000000,2,770,B,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
37,37,11009.000000000000000,2,781,B,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
38,38,61053.000000000000000,1,782,A,11570_1_2,North Pacific Swamp Systems,Riparian,NA
39,39,486565.000000000000000,1,773,A,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
40,40,2195005.000000000000000,3,773,C,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
41,41,381995.000000000000000,180,773,Agriculture,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
42,42,300.000000000000000,132,781,Barren or Sparse,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
43,43,1674.000000000000000,132,773,Barren or Sparse,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
44,44,545.000000000000000,132,782,Barren or Sparse,11570_1_2,North Pacific Swamp Systems,Riparian,NA
45,45,1178.000000000000000,3,778,C,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
46,46,254.000000000000000,2,778,B,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
47,47,179.000000000000000,1,778,A,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
48,48,874192.000000000000000,120,773,Developed,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
49,49,6345049.000000000000000,2,773,B,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
50,50,227.000000000000000,7,778,UE,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
51,51,71839.000000000000000,1,770,A,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
52,52,18463.000000000000000,180,782,Agriculture,11570_1_2,North Pacific Swamp Systems,Riparian,NA
53,53,2230.000000000000000,7,782,UE,11570_1_2,North Pacific Swamp Systems,Riparian,NA
54,54,84349.000000000000000,7,770,UE,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
55,55,1452927.000000000000000,5,772,E,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
56,56,91804.000000000000000,4,772,D,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
57,57,452055.000000000000000,180,770,Agriculture,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
58,58,418185.000000000000000,1,772,A,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
59,59,525495.000000000000000,7,773,UE,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
60,60,914405.000000000000000,120,772,Developed,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
61,61,461583.000000000000000,7,772,UE,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
62,62,42.000000000000000,132,778,Barren or Sparse,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
63,63,510.000000000000000,132,770,Barren or Sparse,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
64,64,1334506.000000000000000,3,772,C,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
65,65,3108096.000000000000000,2,772,B,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
66,66,1014272.000000000000000,2,2719,B,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
67,67,181250.000000000000000,180,772,Agriculture,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
68,68,128806.000000000000000,2,786,B,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
69,69,5254.000000000000000,4,770,D,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,35
70,70,26135.000000000000000,2,776,B,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
71,71,1810.000000000000000,1,776,A,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
72,72,784.000000000000000,120,776,Developed,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
73,73,146.000000000000000,180,776,Agriculture,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
74,74,8196.000000000000000,1,786,A,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
75,75,1407.000000000000000,7,776,UE,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
76,76,7675.000000000000000,7,786,UE,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
77,77,11146.000000000000000,120,786,Developed,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
